what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1339000835512
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1339000835512
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1339000835512
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1339000835512
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1339000835512
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1339000835513
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1339000835513
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1339000835513
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1339000835513
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1339000835513
os,sysinfo,,,"macosx",1339000835517
arch,sysinfo,,,"x86",1339000835517
ws,sysinfo,,,"cocoa",1339000835517
locale,sysinfo,,,"en_US",1339000835517
processors,sysinfo,,,"2",1339000835517
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1339000835517
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-10M3527",1339000835517
java.specification.name,sysinfo,,,"Java Platform API Specification",1339000835517
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1339000835517
java.specification.version,sysinfo,,,"1.6",1339000835517
java.vendor,sysinfo,,,"Apple Inc.",1339000835517
java.version,sysinfo,,,"1.6.0_29",1339000835517
java.vm.info,sysinfo,,,"mixed mode",1339000835517
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1339000835517
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1339000835517
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1339000835517
java.vm.specification.version,sysinfo,,,"1.0",1339000835517
java.vm.vendor,sysinfo,,,"Apple Inc.",1339000835517
java.vm.version,sysinfo,,,"20.4-b02-402",1339000835517
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1339000855987
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1339000857705
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339000886128
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339000917376
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1339000917450
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1339000930457
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1339000930726
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1339000930956
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1339000937859
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1339000937880
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1339000938014
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1339000938143
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1339000938235
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1339000938276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339000938997
started,bundle,org.eclipse.equinox.p2.publisher.eclipse,1.0.0.v20110815-1438,"org.eclipse.equinox.p2.publisher.eclipse",1339000991254
error,log,,,"Operation details",1339001496755
error,log,,,"Operation details",1339001496756
error,log,,,"Operation details",1339001536409
error,log,,,"Operation details",1339001536411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339001585464
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1339001585523
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339001590944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339001622738
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1339001622790
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339001628766
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1339001629146
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.restartWorkbench",1339001629704
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1339001629766
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.200.v201103081922,"org.eclipse.wst.xsl.jaxp.debug.ui",1339001629771
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1339001629771
stopped,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1339001629834
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1339001629845
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1339001629845
stopped,bundle,org.eclipse.wst.web.ui,1.1.500.v201111030500,"org.eclipse.wst.web.ui",1339001629845
stopped,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1339001629846
stopped,bundle,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.ui",1339001629847
